Name,Distillery/Brand,Region,Bottler,Country,Rating,Reviews,Capacity (cl),Alcohol Percentage %,Price,Awards,Palate,Finish,Nose,Alcohol Percentage
Highland Park 40 Year Old,Highland Park,Scotland,Highland Park,Scotch Whisky,5.0,11.0,70,48,74.95,0,Full and a little oily. Notes of leafy greenness and marzipan with hints of sherry. Seville marmalade and a little spice.,The finish is long with perfumed notes and zesty bitter oak.,"Rich and full. Notes of pine and eucalyptus oil with hints of manuka honey. Some fruit notes, grassy heather and mixed peels developing with gentle smoke.","(70cl, 48.3%)"
Macduff 18 Year Old 1997 (cask 5852) - Ancient Mariner,Macduff,Scotland,Ancient Mariner,Scotch Whisky,3.0,3.0,50,46,55.99,0,"Honeyed orchard fruits and a good crack of black pepper, malty cereal and vanilla syrup.","Sugary peach tart, tobacco and underlying wood spice.","Charred strawberries, freshly baked nut loaf, peppermint sweeties and a floral bouquet.","(50cl, 46.1%)"
Balmenach 8 Year Old (That Boutique-y Whisky Company),Balmenach,Scotland,That Boutique-y Whisky Company,Scotch Whisky,0.0,0.0,50,47,39.95,0,"Millionaire's shortbread, honeyed sultanas, a hint of coffee bean and cardamom spiciness.",Sweet tropical fruit brightness.,"Orange zest, buttery malt, greengages, and a smidge of woody spice.","(50cl, 47.8%)"
Adelphi's Liddesdale 18 Year Old,Adelphi,Scotland,Adelphi,Scotch Whisky,0.0,0.0,70,46,74.95,0,"Sweet, oily and orangey, truly mouth-coating.","Reasonably long with orange zest, caramel and dried date notes.","Mince-pies, brandy sauce, spent firework.","(70cl, 46%)"
Ballechin 12 Year Old 2009 (cask 345) - Straight From The Cask,Edradour,Scotland,Edradour,Scotch Whisky,0.0,0.0,50,58,69.97,0,"Charred raisin, oily malt, cocoa, and fragrant, savoury smoke.","Salted caramel, treacle, and bittersweet dark chocolate.","Honey-glazed ham, roasted (and burnt) nuts, and melted chocolate.","(50cl, 58%)"
Hazelburn 13 Year Old 2007,Springbank,Scotland,Springbank,Scotch Whisky,0.0,0.0,70,48,54.95,0,"Sultana and malt loaf as it opens up, before a big wave of honey and juicy peach notes appear. Anise once again, plus a touch of cut grass.","Vanilla pod, softly toasted teacakes with butter, green apple.","Chocolate digestives, orange zest, honeydew melon. Soon enough, creamy vanilla builds on the nose, with a hint of anise.","(70cl, 48.6%)"
Caol Ila 15 Year Old 2007 (cask 204) - Cask Strength Collection (Signatory),Caol Ila,Scotland,Signatory,Scotch Whisky,0.0,0.0,70,53,132.95,0,"Sherry character bringing a barbecue smoke quality to the coastal peat, with drizzles of caramel, raisin-studded fruit compote, and shavings of chocolate.","Sweet sherry and smoke linger, with some drying oak.","Smoked streaky bacon, with dried figs, some toasted almonds, vanilla, and spice.","(70cl, 53.7%)"
The Dalmore 15 Year Old Luminary No. 1 - 2022 Edition,Dalmore,Scotland,Dalmore,Scotch Whisky,0.0,0.0,70,46,299.95,0,"Citrus, chocolate, cherries, figs, brioche, and moist ginger cake.",Dried fruits and honey entwine with balanced wood spice and cacao.,"Rich fruits, panna cotta, honey roasted almonds, and citrus oils.","(70cl, 46.8%)"
Dalmore 10 Year Old - Vintage 2008,Dalmore,Scotland,Dalmore,Scotch Whisky,0.0,0.0,70,46,71.95,0,"A creamy nuttiness, with honey roasted walnut, stewed berries and plump raisin, butterscotch, floral malt and salted chocolate.","Cigar box, a hint of creamy vanilla, juicy pear and rich, drying oak.","Fresh hay, dates, stewed pear, cinnamon and liquorice with a drizzle of honey.","(70cl, 46%)"
Pl5 - Elements of Islay (Port Charlotte),Bruichladdich,Scotland,The Single Malts of Scotland,Scotch Whisky,0.0,0.0,50,63,100.0,0,"Green apple, savoury peat, sea salt and lemon peel.",New leather and sea salt once again.,"Smoked meats and bonfire embers, with a hint of vanilla sweetness tucked away.","(50cl, 63.1%)"
963 Malt & Grain Black Label,Yamazakura,Japan,Yamazakura,Japanese Whisky,0.0,0.0,70,46,37.95,0,"Eucalyptus, earthy spices, still has a hint of fresh fruit sweetness to it.",Delicate lemon and dry smoke.,"Pear and floral vanilla, shortly joined by grassy peat.","(70cl, 46%)"
High Coast Berg - Pedro Xim̩nez,High Coast,Sweden,High Coast,Swedish Whisky,0.0,0.0,50,50,67.27,0,"Dried fruit and vanilla sweetness, stewed apple, chocolate raisins, and espresso.","Apricot jam, more dried fruit, and gentle spice.","Buttery fudge, nutmeg, frangipane, cocoa, and sultana.","(50cl, 50%)"
Glenfarclas 1995 (bottled 2018) Premium Edition,Glenfarclas,Scotland,Glenfarclas,Scotch Whisky,0.0,0.0,70,46,88.79,0,"Cinnamon and clove once again, now with orange oil adding a freshness to the dense dark fruit. A solid core of oak richness.","Hot chocolate, treacle tart and walnut.","Prune, Christmas spices, chocolate cake and a good helping of honey.","(70cl, 46%)"
