Name,Distillery/Brand,Region,Bottler,Country,Rating,Reviews,Capacity (cl),Alcohol Percentage %,Price,Awards,Palate,Finish,Nose,Alcohol Percentage
Croftengea Apple Smoke (cask 454) - The Cooper's Choice (The Vintage Malt Whisky Co.),Loch Lomond,Scotland,The Vintage Malt Whisky Co.,Scotch Whisky,0.0,0.0,70,54,85.0,0,"Juicy layers of cooked and fermented apples with fragrant peat smoke, roasted barley, butterscotch, and pepper.","Spiced cider, smoked wood chips, and a touch of root ginger.",Bonfire ash and soft notes of cured meat support apple chips and toasted herbs.,"(70cl, 54.5%)"
Loch Lomond 25 Year Old 1996 - Mission Gold (Murray McDavid),Loch Lomond,Scotland,Murray McDavid,Scotch Whisky,0.0,0.0,70,55,160.0,0,"Sweet popcorn, ripe pineapple, and woody spice.","Candied ginger, melted brown sugar, and oily citrus.","Very creamy, with orange curd, sticky liquorice, and tinned fruits.","(70cl, 55.9%)"
James E. Pepper 3 Year Old - Oloroso Cask Finish (That Boutique-y Whisky Company),James E. Pepper & Co.,United States,That Boutique-y Whisky Company,American Whiskey,4.0,5.0,50,50,46.95,1,"Rich dark chocolate, vanilla pod sweetness and aromatic warmth from clove and cinnamon come through first, with lots of chewy rye notes and caramel in support.",Red fruit and rye spice linger.,"Red cola cubes, sticky toffee pudding made with dates and blood orange rind lead with creamy vanilla and cacao in support. Plenty of dusty oak spice is present throughout.","(50cl, 50%)"
Unnamed Orkney 12 Year Old 2009 (casks DRU17/A67 #1+2) - Un-Chillfiltered Collection (Signatory),Signatory,Scotland,Signatory,Scotch Whisky,0.0,0.0,70,46,46.24,0,"Malty and fragrant, with a subtle coastal salinity sneaking through.",Waxy orange and toasted malt.,"Lemon drops, salted caramel, shortbread, and earthy oak.","(70cl, 46%)"
Egan's Fortitude,Egan's,Ireland,Egan's,Irish Whiskey,3.5,4.0,70,46,44.44,0,"Swirls of smoke mixed with more sherry notes, chocolate and rich dried fruits.","A long, sweet finish that lingers.","Sweet and strong sherry, honey and raisins with a hint of marzipan.","(70cl, 46%)"
Glenrothes 12 Year Old 2010 (cask 871) - The Cooper's Choice (The Vintage Malt Whisky Co.),The Vintage Malt Whisky Co.,Scotland,The Vintage Malt Whisky Co.,Scotch Whisky,0.0,0.0,70,57,74.74,0,"Milk chocolate, cantaloupe, orange marmalade, and spiced apple.",Cinnamon butter and tinned pineapple.,"Creamy malt, white pepper, and raspberry swirl cake.","(70cl, 57.5%)"
Cotswolds Bourbon Cask Single Malt Whisky,Cotswolds,England,Cotswolds,English Whisky,5.0,1.0,70,59,69.95,0,"Peanut brittle, sultana, shortbread, and cinnamon.","Buttery biscuits, white pepper, and orange zest.","Vanilla custard, green apple, a hint of toasted oak smokiness.","(70cl, 59.1%)"
The Busker Triple Cask Triple Smooth,The Busker,Ireland,The Busker,Irish Whiskey,3.0,1.0,70,40,27.99,0,"Enjoyably malty, with touches of dark chocolate popping up underneath juicy apricot and mango.",Lingering hints of crumbly fudge and nutty barley.,"Caramel, honeycomb, a zesty hint of tropical fruit.","(70cl, 40%)"
Kavalan Single Malt Whisky,Kavalan,Taiwan,Kavalan,Taiwanese Whisky,3.5,38.0,70,40,7265.94,4,"There's mango throughout, spicy barley, gentle oak and creamy richness.","A touch of allspice, vanilla and fragrant pear skin.","Fragrant and tropical fruits with floral notes, vanilla and mango.","(70cl, 40%)"
Dalaruan - Classic Selection (The Lost Distillery Company),The Lost Distillery Company,Scotland,The Lost Distillery Company,Scotch Whisky,3.0,2.0,70,43,52.0,0,The smoke notes become more coastal on the palate. Remains filled with apple and apricot in the background.,"Herbaceous once again, with a touch of sea breeze.","Earthy/herbaceous peat smoke, paired with juicy orchard fruit.","(70cl, 43%)"
Woven Superblend,Woven,Scotland,Woven,Scotch Whisky,0.0,0.0,50,46,44.95,0,"Spicy oak with fresh orchard fruit, lemon, and orange peel.",Sweet vanilla and toffee.,Citrus fruit and fresh green apples.,"(50cl, 46.1%)"
Tobermory 2013 (bottled 2021) â The Scalasaig,Tobermory,Scotland,The Scalasaig,Scotch Whisky,0.0,0.0,70,46,70.07,0,Sweet dates and plums lead to chocolate honeycomb with oily malt and roasted nuts creeping in.,"Zesty wafts of orange peel, spiced tea loaf, and lingering oak.","Waxed peels open things up, with juicy raisins and sultanas, a smidge of green oak, and floral honey.","(70cl, 46.5%)"
Millstone 100 Rye Whisky,Millstone Whisky,Dutch,Millstone Whisky,Dutch Whisky,5.0,6.0,70,50,82.9,2,"More lemon notes develop on the palate, now paired with pine. Cardamom spiciness. Maybe even a touch of Fino?",Waxy fruit and another kick of cardamom.,"Deliciously fragrant with orange blossom, roasted lemon and a touch of thyme. Hints of brown sugar sweetness.","(70cl, 50%)"
Bladnoch 14 Year Old (2022 Release),Bladnoch,Scotland,Bladnoch,Scotch Whisky,4.5,1.0,70,46,109.99,0,"Sherry-soaked raisins, milk chocolate, floral honey, a touch of grassy barley.","Drying cinnamon and nutmeg spiciness, with more fruity sweetness for balance.","Fruitcake, orange oil, and polished oak.","(70cl, 46.7%)"
The Oxford Artisan Distillery Heritage Corn Whisky - Grain Stories,The Oxford Artisan Distillery,England,The Oxford Artisan Distillery,English Whisky,0.0,0.0,50,50,89.94,0,"Banana fritters, cut grass, buttered bread, gingerbread, salted peanuts.",A lasting touch of allspice and vanilla.,"Buttery shortbread, cassia and cinnamon, baked apples, a whiff of floral spring breeze.","(50cl, 50.4%)"
Ardmore 13 Year Old 2009 - Strictly Limited (CÃ rn MÃ²r),Ardmore,Scotland,Carn Mor,Scotch Whisky,0.0,0.0,70,47,75.95,0,"Woody spice, maple syrup, tawny marmalade, and some toasted coconut.","Caramelised nuts, toasted oak, and baking spices.","Sticky dates, toasted walnuts, and toasted barley.","(70cl, 47.5%)"
Highland Park 15 Year Old 2006 (cask 5032775) - The Octave (Duncan Taylor),Highland Park,Scotland,Duncan Taylor,Scotch Whisky,0.0,0.0,70,55,157.87,0,"Roasted almonds, honeycomb, smoky peppercorns, a hint of liquorice.",The floral hints of heather return for the long finish.,"Heather honey, soft smoke with a dry hint of seaweed, waffles.","(70cl, 55%)"
Glengoyne BalbaÃ­na,Glengoyne,Scotland,Glengoyne,Scotch Whisky,3.5,4.0,100,43,58.9,1,"Earthy clove and cinnamon, chewy dates, a touch of cantaloupe.","Brown sugar, soft oak, a touch of citrus peel.","Chocolate orange, malty biscuits, a hint of red wine sweetness.","(100cl, 43%)"
Tamdhu 8 Year Old 2014 (cask DL16345) - Provenance (Douglas Laing),Tamdhu,Scotland,Douglas Laing,Scotch Whisky,0.0,0.0,70,46,65.95,0,"The cinnamon sticks around, with a dash of nutmeg and ginger, while rich, roasted barley and trickles of caramel develop.","Spiced fruit loaf, buttery shortbread, caramelised almonds, and chewy toffee.","Roasted walnuts, candied pecans, a touch of maple, and fragrant cinnamon.","(70cl, 46%)"
The English - Smokey,The English Whisky Co,England,The English Whisky Co,English Whisky,4.0,11.0,70,43,46.74,1,"Full-bodied smoke, paired with light notes of buttered bread and peppery barley.",Stem ginger and lingering bonfire embers.,"Cinnamon, smoked malt and blueberry muffins.","(70cl, 43%)"
West Cork Glengarriff Series - Bog Oak Charred Cask Finish,West Cork Distillers,Ireland,West Cork Distillers,Irish Whiskey,4.0,2.0,70,43,36.74,0,"Drying spices, Frazzles, barley sugar and yellow plum.","Lingering smokiness, joined by a touch of brown sugar.",Smoky notes arrive first - a bit mezcal-esque in their approach. Hints of sultanas and green apple in the background.,"(70cl, 43%)"
Old Perth The Original,Old Perth,Scotland,Old Perth,Scotch Whisky,5.0,7.0,70,46,34.9,0,"Cherry jam, plump raisin, and more chocolate notes.",A spicy finish with another burst of berry fruit.,"Festive spices, cocoa, and oily malt.","(70cl, 46%)"
The Glenrothes 10 Year Old - Canmore,Glenrothes,Scotland,Canmore,Scotch Whisky,0.0,0.0,70,46,57.95,0,"More fresh apple is followed by sweeter, baked fruits. Vegetal barley rests comfortably beneath softly spiced vanilla biscuits.","The fruity freshness prevails, with a crisp, delicate spice wrapping things up.",Crisp green apples with herbaceous zest and vanilla cream.,"(70cl, 46%)"
Mars Tsunuki 2022 Edition,Mars,Japan,Mars,Japanese Whisky,3.5,1.0,70,50,134.94,0,"Creamy cocoa butter balanced by a light citrussy acidity, green oak, sweet maple syrup, and with gentle heat building.",Oaky bourbon sweetness lingers.,"Touches of apricot, with jammy marmalade and wafts of vanilla.","(70cl, 50%)"
Loch Lomond 12 Year Old Louis Oosthuizen Limited Edition,Loch Lomond,Scotland,Loch Lomond,Scotch Whisky,0.0,0.0,70,46,45.0,0,"A subtle hint of smoke, before fresh peach and marmalade notes arrive.","Dry cedar, vanilla pod, and sugared almond.","Lemon and honey, with a smidge of lavender, and malty biscuits.","(70cl, 46%)"
SPEY Trutina Cask Strength - Batch 4,Speyside,Scotland,Speyside,Scotch Whisky,0.0,0.0,70,59,55.74,0,"Layers of vanilla, honey, and strawberry jam coat orchard fruit and baking spices.",Clove and toffee.,Apple pie topped with brown sugar and cinnamon. Creamy vanilla and a juicy burst of orangey sweetness in support.,"(70cl, 59.4%)"
Nikka Taketsuru Pure Malt (2020 Release),Nikka,Japan,Nikka,Japanese Whisky,2.5,2.0,70,43,69.95,0,"More vanilla, subtly floral at points. Salted butter on toasted teacakes, ripe pear and peach.",Lingering peat smoke and subtle baking spice warmth.,"Grassy malt, earthy vanilla, toasted coconut and BBQ pineapple.","(70cl, 43%)"
Jack Daniel's Single Barrel (cask 21-07907) (Master of Malt Exclusive),Jack Daniel's,United States,Jack Daniel's,American Whiskey,0.0,0.0,70,45,49.99,0,"Rounded oak, banana fritters, a core of pecan and malty chocolate.","A hint of cigar box richness develops on the finish, with continued nutty hints.","Honeyed cereals with a smidge of toasty warmth, caramelised nuts, a flash of red fruit.","(70cl, 45%)"
Invergordon 15 Year Old 2007 (cask CG009) - The Golden Cask (House of MacDuff),Invergordon,Scotland,House of Macduff,Scotch Whisky,0.0,0.0,70,63,69.95,0,"Peaches and cream, toasted cashews, and spiced custard.",Green cardamom balanced by golden syrup and orange chocolate.,"Dried apple, buttercream, and coffee ice cream.","(70cl, 63.8%)"
Malt Riot,The Glasgow Distillery Co.,Scotland,The Glasgow Distillery Co.,Scotch Whisky,3.5,12.0,70,40,28.0,0,"Fruitier on the palate, with some zesty citrus and mango, shortly joined by gingerbread and amaretti biscuits.",Lingering ginger spiciness.,"Freshly baked bread with marmalade, floral vanilla, a whisper of sawdust.","(70cl, 40%)"
"Glen Elgin 12 Year Old 2009 (casks 806369, 806378 & 806379) - Un-Chillfiltered Collection (Signatory)",Glen Elgin,Scotland,Signatory,Scotch Whisky,0.0,0.0,70,46,46.27,0,"A brilliant balance of soft, creamy oak and peppery barley, with smotherings of set honey, cooked apricots, and vanilla.",Barley water and boiled fruit sweets balance dried spices beneath.,"Layers of creamy pastries, toasted almonds, and butter biscuits with sweet citrus zest in tow.","(70cl, 46%)"
Glen Scotia 12 Year Old Seasonal Release,Glen Scotia,Scotland,Glen Scotia,Scotch Whisky,4.0,3.0,70,54,80.0,0,"Toasted sugar and brown butter, with hints of orange oil and dried fruit.","Lasting spiciness of ginger, cinnamon, and oak.","Pear, red apple, layers of toffee, and a hint of sea shell salinity.","(70cl, 54.7%)"
Wild Turkey 81 Proof,Wild Turkey,United States,Wild Turkey,American Whiskey,4.0,29.0,70,40,24.49,0,"Rich and thick, notes of caramel, manuka honey and fudge, hints of rhubarb and custard sweets and oily espresso beans.","Caramel and coffee, hints of Black Forest honey and Hot Cross Buns. Charred and spicy.","A spiced, oaky nose with vanilla fudge, rye spices and coffee beans.","(70cl, 40.5%)"
Jim Beam Single Barrel,Jim Beam,United States,Jim Beam,American Whiskey,3.0,5.0,70,47,38.94,0,"Oak char leads into creamy vanilla, brown sugar, burnt caramel and peppery spice.","Hints of dried apricot, toasty oak and baking spices.","Apple pie and rye spices, with buttery corn and oaky vanilla.","(70cl, 47.5%)"
Pikesville 6 Year Old 110 Proof Straight Rye,Pikesville,United States,Pikesville,American Whiskey,4.5,34.0,70,55,92.95,4,"Fruity, then wonderfully spicy rye. Sweet liquorice again (specifically the coconutty/nougat-y pink Liquorice Allsorts that have a black bit in the middle), plenty of oak and then clove drops on the tail.",Vanilla with cinnamon and apricot Danish.,"Some dusty spice, a touch of Norwegian hand cream and cocoa at first with sweet liquorice, CuraÃ§ao, vanilla custard and crÃ¨me caramel developing.","(70cl, 55%)"
Glencadam American Oak Reserve,Glencadam,Scotland,Glencadam,Scotch Whisky,0.0,0.0,70,40,29.99,0,"Lemon cheesecake, honeycomb, malted barley, a hint of ginger.",Toffee and waxy peels.,"Melted butter, almond, a bit floral at points.","(70cl, 40%)"
St. Thomas 32 Year Old (That Boutique-y Whisky Company),That Boutique-y Whisky Company,Scotland,That Boutique-y Whisky Company,Scotch Whisky,5.0,2.0,50,40,104.95,0,"Chocolatey, with more vanilla pouring in. A subtle waft of mint appears along the way.",Toffee pennies and crumbly fudge.,"Massive caramel and vanilla tablet notes, with hints of warm oak developing.","(50cl, 40.1%)"
Woven Experience No.12,Woven,Scotland,Woven,Scotch Whisky,0.0,0.0,50,47,59.95,0,"Poached pears and plums, damp leaves, Maltesers, and earthy peat.","Lingering smoke, with milk chocolate.","Apple pie, with oaky vanilla, woody spices, and distant bonfire smoke.","(50cl, 47.3%)"
Tomatin 15 Year Old 2006 Madeira Cask - The Portuguese Collection,Tomatin,Scotland,Tomatin,Scotch Whisky,0.0,0.0,70,46,79.9,0,"sweet membrillo, with spiced apple compote, oaky vanilla, and crumbly shortcake.","Floral honey, and warm spices.","Poached quince, with twists of oily lemon peel, and drizzles of caramel.","(70cl, 46%)"
Cardhu 11 Year Old (Special Release 2020),Cardhu,Scotland,Cardhu,Scotch Whisky,5.0,1.0,70,56,82.49,0,"Densely creamy and mouth-filling, with icing sugar adding to the fruit-forward palate. There's marmalade on toast, raisins and gentle white pepper in there, too.","Medium-long, with more of that pepper and cinnamon warmth cutting through.","An orchard fruit-led delight, with oodles of crisp apple, pear and even some grapes coming through. Over time, the fruit turns a little more tropical, especially juicy pineapple and Galia melon. Rhubarb and custard boiled sweets, pencil shavings and a gentle cinnamon prickle add to the fruit.","(70cl, 56%)"
Peerless Kentucky Rye 3 Year Old 2016 Single Cask (Master of Malt),Peerless,Scotland,Master of Malt,Scotch Whisky,0.0,0.0,70,49,69.95,0,"Robust layers of earthen vanilla pod, caramel, and peppery spice are supported by salty, nutty, chocolatey suggestions of Reese's Cups.","Fennel, carraway and toasted rye bread with salted butter.",Toffee covered nuts and cracked black peppercorns are joined by herbal anise and oaken vanilla.,"(70cl, 49.1%)"
Randolph Oxford Barrel Proof,The Black Bottle Distillery,England,The Black Bottle Distillery,English Whisky,0.0,0.0,70,58,37.95,0,"Powerfully malty, with more citrus and toasted spices.",Lingering hints of cinnamon and chocolate peanuts.,"Chocolate orange, black pepper, pine, and toffee.","(70cl, 58%)"
Caramel Apple Sauce 1991 (bottled 2018) - Wemyss Malts (North British),North British,Scotland,Wemyss Malts,Scotch Whisky,0.0,0.0,70,46,91.95,0,"Marmalade, runny caramel, a hint of butterscotch and buttered brown bread.",Warming festive spices last.,"Thick honey and molasses, with a hint of pineapple underneath the richness.","(70cl, 46%)"
Filey Bay STR Finish,Filey Bay,England,Filey Bay,English Whisky,3.0,1.0,70,46,58.9,0,"Salted caramel, red berries, subtle barrel char and cinnamon spiciness.","Strawberries and black pepper, dark chocolate bitterness, dry oak.","Chocolate orange, toasted teacakes and a hint of fresh barley.","(70cl, 46%)"
New Town Blends - The Surgeons Ball,Edinburgh Whisky LTD,Scotland,Edinburgh Whisky LTD,Scotch Whisky,0.0,0.0,70,46,34.64,0,"Orange peel and vanilla ice-cream, earthy smoke and melted chocolate.",Hints of peat go on and on...,"BBQ'd burnt ends, toasted sugar, Eccles cakes and a hint of charred oak.","(70cl, 46%)"
Ballantine's Finest,Ballantine's,Scotland,Ballantine's,Scotch Whisky,3.5,130.0,70,40,21.49,7,"Rich and sweet. Barley and caramel, very gentle peat.","Soft and sweet, fudge.","Expressive, crisp barley sugars. Touch of wood smoke, toffee.","(70cl, 40%)"
Sagamore Spirit Signature Rye,Sagamore Spirit,United States,Sagamore Spirit,American Whiskey,4.5,8.0,70,41,49.94,0,"Chewy dates and candied peels, with pistachio ice cream and nutmeg to follow.","Lasting vanilla, a hint of drying cedar and more honey.","Honeyed grains, milky coffee, cinnamon gum and a soft hint of peppery oak.","(70cl, 41.5%)"
Tennessee Rye Whisky 5 Year Old (That Boutique-y Whisky Company),That Boutique-y Whisky Company,United States,That Boutique-y Whisky Company,American Whiskey,0.0,0.0,50,50,48.95,0,"Baking spices and rich toffee join the fun with hints of vanilla cola, black tea, and chocolate-covered raisins.",Burnt toast and a hint of cherry.,"Cherry and strawberries are joined by a medley of tropical fruit among charred oak, dark chocolate, and chalk dust.","(50cl, 50%)"
Dartmoor Bourbon Cask Matured Whisky,Dartmoor,England,Dartmoor,English Whisky,0.0,0.0,70,46,59.95,0,"Malty and light, though with a touch of oiliness to it. Vanilla and quince stick around.","A fleeting hint of smoke, eclipsed by citrus, crunchy brown sugar and desiccated coconut.","Fresh pear and peach, with helpings of earthy barley and hay.","(70cl, 46%)"
Caol Ila 11 Year Old 2010 - Paloma (Goldfinch Whisky Merchants),Caol Ila,Scotland,Goldfinch,Scotch Whisky,0.0,0.0,70,53,102.46,0,"Through oily malt and medicinal peat comes salted caramel, pineapple and cinnamon.",Lingering peat with a light touch of dried fruit.,"Heaps of lemon zest, wet hay, bonfire smoke, and custard cream biscuits.","(70cl, 53.8%)"
Starward Projects - Ginger Beer Cask #6,Starward,Australian,Starward,Australian Whisky,5.0,1.0,50,48,85.24,0,Ginger packs some heat with warming spice balanced by bold vanilla and juicy notes of tropical fruit.,"Crystalised ginger, dried orange peels, wafts of sticky toffee pudding follow toasty oak and gently prickling heat.","Bright and zesty notes of candied orange, dipped in dark chocolate. Plenty of fiery ginger.","(50cl, 48%)"
Ben Ãideann Distillery Edition,Ben Ãideann,Scotland,Ben Ãideann,Scotch Whisky,0.0,0.0,70,40,43.94,0,Tinned pineapple sweetness with porridge sprinkled with brown sugar and a good glug of cream.,Peppery oak and honeyed spices linger.,"Freshly baked banana bread and vanilla shortbread, with a touch of passion fruit jam.","(70cl, 40%)"
Glen Scotia Campbeltown 1832,Glen Scotia,Scotland,Glen Scotia,Scotch Whisky,4.0,5.0,100,46,64.95,0,"Salted caramel, cooked fruit (apple and strawberry), coastal smoke.",Sea salt and waves of honey.,"Dates, oatcakes and smoked cheese, with orange peel cutting through.","(100cl, 46%)"
Pittyvaich 30 Year Old (Special Release 2020),Pittyvaich,Scotland,Pittyvaich,Scotch Whisky,0.0,0.0,70,50,379.95,0,"An oily and unctuous dram, with a creamy vanilla ice cream note especially prominent. There's some Victoria sponge cake in there, along with a dash of red fruits, and a gentle cinnamon lift.","Short-to-medium, with more cinnamon and papaya notes.","A celebration of tropical fruit, with oodles of green banana, papaya, juicy pineapple and yellow melon. There's a wonderful leafy green quality too, plus a gentle toasted oak quality.","(70cl, 50.8%)"
Cotswolds Golden Wold - The Harvest Series,Cotswolds,England,Cotswolds,English Whisky,0.0,0.0,70,52,98.45,0,"Silky custard, with toasted oak, cocoa nibs, and warm baking spices.",Peat smoulders in the background alongside toasted brioche.,"Sun dried hay, with caramelised honey, oaken vanilla, and gentle wafts of peat.","(70cl, 52.5%)"
Never Say Die Barrel Strength Whiskey (Barrel No. 3),Never Say Die,United States,Never Say Die,American Whiskey,0.0,0.0,70,55,78.9,0,"The spice continues on the palate, with woody cinnamon and nutmeg, kept in check by buttery toffee and leathery oak.","A mellow finish, rye spice gathers some warmth, while butterscotch and oaken vanilla linger.","Oak char and vanilla lead, with zesty citrus oils and a touch of cinnamon.","(70cl, 55.4%)"
Miltonduff 16 Year Old - Chorlton Whisky,Miltonduff,Scotland,Chorlton Whisky,Scotch Whisky,0.0,0.0,70,55,87.5,0,"Creamy vanilla, white chocolate, and raspberries join the party.",A little tropical fruit and cream linger.,"Sweet porridge, orange peel, and cooked apple spiced with a little cinnamon.","(70cl, 55.9%)"
Caol Ila 9 Year Old 2014 (cask 303408 & 303410) - Dalgety (Hannah Whisky Merchants),Caol Ila,Scotland,Hannah Whisky Merchants,Scotch Whisky,0.0,0.0,70,50,71.95,0,"Red berries, sticky toffee pudding with dates, smoked ham, cinnamon, and brine.",Smoky and sweet until the end.,"BBQ meat, sea shell, orange peel, coffee grounds, and rich smoke.","(70cl, 50.5%)"
Starward Octave Barrel - Projects Limited Release,Starward,Australian,Starward,Australian Whisky,0.0,0.0,70,48,84.95,0,"Red berries, aromatic spice, dried fruit, and some herbaceousness on the palate.",Long and full of oak and fruit.,"Toffee apple, acacia honey, stewed plums, and orange peel.","(70cl, 48%)"
Dailuaine 12 Year Old 2008 (cask 308909) - Auld Goonsy's Malt,Dailuaine,Scotland,Auld Goonsy's Malt,Scotch Whisky,0.0,0.0,70,57,74.95,0,"Oily oak, sultanas, and gentle baking spice alongside honeyed cereal and a touch of zesty marmalade.","Sugary jam, more cinnamon, and a touch of herbaceous, oaky pepper.","Toasty malt and roasted nuts, sweet cinnamon buns, and creamy vanilla.","(70cl, 57.6%)"
Kavalan Solist Amontillado Cask (55.6%),Kavalan,Taiwan,Kavalan,Taiwanese Whisky,0.0,0.0,70,55,350.0,0,"Chocolate-y at first (think chocolate orange and dark chocolate truffle), though the pineapple and guava notes from the nose soon return.",Drying spices and a final burst of sharp pineapple.,Big waves of tropical fruit and almost Fino-like nuttiness coming from the Sherried malt.,"(70cl, 55.6%)"
Craigellachie 13 Year Old 2009 - Hepburn's Choice (Langside),Craigellachie,Scotland,Langside Distillers,Scotch Whisky,0.0,0.0,70,46,53.95,0,"Heather honey, oily barley, juicy marmalade, and toffee.",Winter spices and crumbly fudge.,"Honeyed porridge, charred pineapple, toasted oak, and ginger.","(70cl, 46%)"
Balmenach 10 Year Old 2011 (cask 417) - Lady of the Glen (Hannah Whisky Merchants),Balmenach,Scotland,Hannah Whisky Merchants,Scotch Whisky,0.0,0.0,70,56,69.99,0,"Crumbly fudge, with peppery spice, creamy malt, and oaky spice.","Sticky caramel and barley sugar, with toasted oak.","Dark caramel, with a touch of toasted almonds, coffee, and earthy vanilla.","(70cl, 56.3%)"
Glenglassaugh 10 Year Old 2009 (cask 1346),Glenglassaugh,Scotland,Glenglassaugh,Scotch Whisky,0.0,0.0,70,54,99.61,0,"Charred peaches, with dried mango, zesty ginger and lime, salted caramel, and warming spices.","Vanilla, with woody spices, and gentle sweetness.","Oaky vanilla, with milk chocolate, some dark brown sugar, orange zest, and gorse flowers.","(70cl, 54.7%)"
Cotswolds Peated Cask Single Malt Whisky,Cotswolds,England,Cotswolds,English Whisky,4.5,2.0,70,60,69.95,1,"Apricot, apple and peach, followed by soft hints of sea salt and cedar.","Honeyed malt, floral barley and final fleeting waft of spicy smoke.","Toffee pennies, toasted sesame seeds, cinnamon sticks and sultanas.","(70cl, 60.2%)"
Akashi Toji Blended Malt & Grain,White Oak,Japan,White Oak,Japanese Whisky,0.0,0.0,70,40,41.42,0,"Honeyed prunes and sultanas follow more warming oaken spice, with creamy grain, and biscuity malt shining through.","Fruited flapjack, warming cinnamon and pepper, a whisper of peat, with nutty oak, and caramel lingering.","Oaken vanilla and cracked peppercorns open the way, before layers of caramel, and smoky tea creep in.","(70cl, 40%)"
Inchfad 15 Year Old 2007 - North Star Spirits,Loch Lomond,Scotland,North Star Spirits,Scotch Whisky,0.0,0.0,70,52,89.95,0,"Powerful layers of vegetal peat and sticky sherried fruit tangle, with candied nuts, earthy charred oak, and dried orange.","Smoky tea and oak char linger with sweet, nutty notes of maple syrup and chewy peat.","Fragrant dried fruit and cooked apple, herbaceous barley, and a touch of charcoal.","(70cl, 52.1%)"
Girvan 26 Year Old 1996 (cask 910315) - Single Cask Series (The Red Cask Company),Girvan,Scotland,The Red Cask Co.,Scotch Whisky,0.0,0.0,70,51,159.95,0,"Melted white chocolate, raspberry coulis, old oak, and butter.",Herbal spices balance buttery caramel and sweet citrus.,"Cooked berries, quince, buttery oak, and pepper spice.","(70cl, 51.3%)"
Adnams Triple Malt Whisky,Adnams,England,Adnams,English Whisky,4.5,6.0,70,47,42.0,1,"Chocolate orange, caramelised almond, honey and a kick of white pepper.","Continued chocolatey elements, with a touch of bubblegum and charred oak.","Toasted coconut, white grape, foam banana and apricot.","(70cl, 47%)"
Tomatin 12 Year Old 2008 Rivesaltes Cask Finish - French Collection,Tomatin,Scotland,Tomatin,Scotch Whisky,0.0,0.0,70,46,63.9,0,"More citrus notes, now in the shape of marmalade and grapefruit pith. Still packed with malty notes, plus a touch of walnut.",Lasting sugared almond sweetness.,"Orange oil, red berries, buttered bread, and flaky pastry.","(70cl, 46%)"
Rebel 100 Kentucky Straight Bourbon Whiskey,Rebel,United States,Rebel,American Whiskey,0.0,0.0,70,50,39.99,0,"Buttered corn dusted with black pepper, slightly oily at points, sweet toffee and citrus notes, just a hint of charred oak.","Cinnamon gum, vanilla pod, and white chocolate.","Gingerbread and chocolate-chip cookie, with some okay heat building underneath.","(70cl, 50%)"
Craigellachie 14 Year Old 2008 (cask 19728) - The First Editions (Hunter Laing),Craigellachie,Scotland,Hunter Laing,Scotch Whisky,0.0,0.0,70,56,88.18,0,"Charred oak, rich malt, apricot jam on toast, and tropical fruit.",Buttery popcorn and a little cinnamon.,"Garden herbs, salted caramel, beeswax, mango, ground sweet spices, and peppery oak.","(70cl, 56.8%)"
Chivas Regal Extra 13 Year Old Bourbon Cask,Chivas Regal,Scotland,Chivas Regal,Scotch Whisky,0.0,0.0,70,40,38.95,0,"Sweet vanilla caramel, buttered popcorn, pressed apples and mellow spice.","Gently peppery warmth builds, with plenty of creamy malt, tangy oak, and smooth spice.","Vanilla and oak are there right away, followed by a touch of orange zest and melted butter.","(70cl, 40%)"
Talisker 8 Year Old (Special Release 2020),Talisker,Scotland,Talisker,Scotch Whisky,5.0,2.0,70,57,89.95,0,"Silky smooth and mouth-filling, with prickles of that characteristic Talisker pepperiness. The fruit becomes more caramelised, and the smoke becomes more bonfire-like, but the nose and palate are beautifully aligned.","Long and warming, with the pepper turning more chilli-like, wrapped up in gentle smoke.","seaweed, iodine, crystallised citrus fruit and charred meat. After a while, molasses and stewed tropical fruits come through, along with a wisp of smoke.","(70cl, 57.9%)"
Waterford Biodynamic - Luna 1.1,Waterford Distillery,Ireland,Waterford Distillery,Irish Whiskey,3.5,2.0,70,50,89.94,0,"black pepper, cinnamon and ginger. Then creamy, almost cream cheese notes, pastry, vanilla and sugared almonds with orchard fruits.",Those amazing aromatics linger mingled with creamy custard. Very long.,"Super spicy, almost like a rye whisky. Thereâs cinnamon, cardamom and freshly-baked rye bread, with apples, peaches and apricots.","(70cl, 50%)"
Starward 5 Year Old 2016 (cask 1870),Starward,Australian,Starward,Australian Whisky,0.0,0.0,70,52,90.78,0,"Cigar box, oily walnut, red grape skin, and sweet ginger, alongside a touch of mint.","A dry finish of cinnamon, tobacco, and oak spice.","Fairly woody and a touch herbal, with roasted coffee bean, dried apricot, and orange chocolate.","(70cl, 52.4%)"
Johnnie Walker Black Label 12 Year Old â Icons 2.0,Johnnie Walker,Scotland,Johnnie Walker,Scotch Whisky,0.0,0.0,70,40,28.44,0,"Rich and full with notes of wood smoke and dry spice, hints of barley and cereal with creamy toffee and a distinct herbal note.",Quite fruity and long with a note of sultanas and mixed peels.,"Winter spice and treacle, hints of white pepper and a little citrus.","(70cl, 40%)"
